2025-08-05 15:14:42,733 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-05 15:14:42,738 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-05 15:14:42,740 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-05 15:14:43,911 - INFO - ✅ Chunk 1 into 'begin_inventory' → Rows: 10000, Mem: 140.69 MB
2025-08-05 15:14:44,027 - INFO - ✅ Chunk 2 into 'begin_inventory' → Rows: 10000, Mem: 140.41 MB
2025-08-05 15:14:44,143 - INFO - ✅ Chunk 3 into 'begin_inventory' → Rows: 10000, Mem: 142.32 MB
2025-08-05 15:14:44,272 - INFO - ✅ Chunk 4 into 'begin_inventory' → Rows: 10000, Mem: 142.72 MB
2025-08-05 15:14:44,416 - INFO - ✅ Chunk 5 into 'begin_inventory' → Rows: 10000, Mem: 142.75 MB
2025-08-05 15:14:44,543 - INFO - ✅ Chunk 6 into 'begin_inventory' → Rows: 10000, Mem: 142.75 MB
2025-08-05 15:14:44,678 - INFO - ✅ Chunk 7 into 'begin_inventory' → Rows: 10000, Mem: 142.76 MB
2025-08-05 15:14:44,807 - INFO - ✅ Chunk 8 into 'begin_inventory' → Rows: 10000, Mem: 142.76 MB
2025-08-05 15:14:44,996 - INFO - ✅ Chunk 9 into 'begin_inventory' → Rows: 10000, Mem: 142.78 MB
2025-08-05 15:14:45,116 - INFO - ✅ Chunk 10 into 'begin_inventory' → Rows: 10000, Mem: 142.78 MB
2025-08-05 15:14:45,330 - INFO - ✅ Chunk 11 into 'begin_inventory' → Rows: 10000, Mem: 142.8 MB
2025-08-05 15:14:45,456 - INFO - ✅ Chunk 12 into 'begin_inventory' → Rows: 10000, Mem: 142.8 MB
2025-08-05 15:14:45,583 - INFO - ✅ Chunk 13 into 'begin_inventory' → Rows: 10000, Mem: 142.8 MB
2025-08-05 15:14:45,701 - INFO - ✅ Chunk 14 into 'begin_inventory' → Rows: 10000, Mem: 142.81 MB
2025-08-05 15:14:45,821 - INFO - ✅ Chunk 15 into 'begin_inventory' → Rows: 10000, Mem: 142.81 MB
2025-08-05 15:14:45,942 - INFO - ✅ Chunk 16 into 'begin_inventory' → Rows: 10000, Mem: 142.82 MB
2025-08-05 15:14:46,061 - INFO - ✅ Chunk 17 into 'begin_inventory' → Rows: 10000, Mem: 142.82 MB
2025-08-05 15:14:46,174 - INFO - ✅ Chunk 18 into 'begin_inventory' → Rows: 10000, Mem: 142.82 MB
2025-08-05 15:14:46,310 - INFO - ✅ Chunk 19 into 'begin_inventory' → Rows: 10000, Mem: 142.85 MB
2025-08-05 15:14:46,525 - INFO - ✅ Chunk 20 into 'begin_inventory' → Rows: 10000, Mem: 142.86 MB
2025-08-05 15:14:46,615 - INFO - ✅ Chunk 21 into 'begin_inventory' → Rows: 6529, Mem: 142.87 MB
2025-08-05 15:14:46,616 - INFO - ✅ Completed ingestion for 'begin_inventory' in 3.88 sec

2025-08-05 15:14:46,618 - INFO - 📄 Processing file: end_inventory.csv
2025-08-05 15:14:46,618 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\end_inventory.csv
2025-08-05 15:14:46,799 - INFO - ✅ Chunk 1 into 'end_inventory' → Rows: 10000, Mem: 141.31 MB
2025-08-05 15:14:46,935 - INFO - ✅ Chunk 2 into 'end_inventory' → Rows: 10000, Mem: 143.24 MB
2025-08-05 15:14:47,068 - INFO - ✅ Chunk 3 into 'end_inventory' → Rows: 10000, Mem: 143.24 MB
2025-08-05 15:14:47,186 - INFO - ✅ Chunk 4 into 'end_inventory' → Rows: 10000, Mem: 143.25 MB
2025-08-05 15:14:47,313 - INFO - ✅ Chunk 5 into 'end_inventory' → Rows: 10000, Mem: 143.27 MB
2025-08-05 15:14:47,434 - INFO - ✅ Chunk 6 into 'end_inventory' → Rows: 10000, Mem: 142.25 MB
2025-08-05 15:14:47,586 - INFO - ✅ Chunk 7 into 'end_inventory' → Rows: 10000, Mem: 142.25 MB
2025-08-05 15:14:47,719 - INFO - ✅ Chunk 8 into 'end_inventory' → Rows: 10000, Mem: 142.26 MB
2025-08-05 15:14:47,984 - INFO - ✅ Chunk 9 into 'end_inventory' → Rows: 10000, Mem: 142.26 MB
2025-08-05 15:14:48,144 - INFO - ✅ Chunk 10 into 'end_inventory' → Rows: 10000, Mem: 142.26 MB
2025-08-05 15:14:48,284 - INFO - ✅ Chunk 11 into 'end_inventory' → Rows: 10000, Mem: 142.29 MB
2025-08-05 15:14:48,427 - INFO - ✅ Chunk 12 into 'end_inventory' → Rows: 10000, Mem: 142.3 MB
2025-08-05 15:14:48,568 - INFO - ✅ Chunk 13 into 'end_inventory' → Rows: 10000, Mem: 142.31 MB
2025-08-05 15:14:48,713 - INFO - ✅ Chunk 14 into 'end_inventory' → Rows: 10000, Mem: 142.31 MB
2025-08-05 15:14:48,847 - INFO - ✅ Chunk 15 into 'end_inventory' → Rows: 10000, Mem: 142.32 MB
2025-08-05 15:14:48,969 - INFO - ✅ Chunk 16 into 'end_inventory' → Rows: 10000, Mem: 142.33 MB
2025-08-05 15:14:49,088 - INFO - ✅ Chunk 17 into 'end_inventory' → Rows: 10000, Mem: 142.34 MB
2025-08-05 15:14:49,201 - INFO - ✅ Chunk 18 into 'end_inventory' → Rows: 10000, Mem: 142.34 MB
2025-08-05 15:14:49,424 - INFO - ✅ Chunk 19 into 'end_inventory' → Rows: 10000, Mem: 142.34 MB
2025-08-05 15:14:49,537 - INFO - ✅ Chunk 20 into 'end_inventory' → Rows: 10000, Mem: 142.34 MB
2025-08-05 15:14:49,650 - INFO - ✅ Chunk 21 into 'end_inventory' → Rows: 10000, Mem: 142.34 MB
2025-08-05 15:14:49,765 - INFO - ✅ Chunk 22 into 'end_inventory' → Rows: 10000, Mem: 142.36 MB
2025-08-05 15:14:49,826 - INFO - ✅ Chunk 23 into 'end_inventory' → Rows: 4489, Mem: 142.36 MB
2025-08-05 15:14:49,828 - INFO - ✅ Completed ingestion for 'end_inventory' in 3.21 sec

2025-08-05 15:14:49,830 - INFO - 📄 Processing file: purchases.csv
2025-08-05 15:14:49,831 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\purchases.csv
2025-08-05 15:14:50,786 - INFO - ✅ Chunk 1 into 'purchases' → Rows: 10000, Mem: 142.88 MB
2025-08-05 15:14:50,979 - INFO - ✅ Chunk 2 into 'purchases' → Rows: 10000, Mem: 144.95 MB
2025-08-05 15:14:51,184 - INFO - ✅ Chunk 3 into 'purchases' → Rows: 10000, Mem: 145.62 MB
2025-08-05 15:14:51,396 - INFO - ✅ Chunk 4 into 'purchases' → Rows: 10000, Mem: 145.39 MB
2025-08-05 15:14:51,598 - INFO - ✅ Chunk 5 into 'purchases' → Rows: 10000, Mem: 139.07 MB
2025-08-05 15:14:51,814 - INFO - ✅ Chunk 6 into 'purchases' → Rows: 10000, Mem: 143.54 MB
2025-08-05 15:14:52,360 - INFO - ✅ Chunk 7 into 'purchases' → Rows: 10000, Mem: 144.75 MB
2025-08-05 15:14:52,717 - INFO - ✅ Chunk 8 into 'purchases' → Rows: 10000, Mem: 144.84 MB
2025-08-05 15:14:52,903 - INFO - ✅ Chunk 9 into 'purchases' → Rows: 10000, Mem: 144.84 MB
2025-08-05 15:14:53,076 - INFO - ✅ Chunk 10 into 'purchases' → Rows: 10000, Mem: 145.5 MB
2025-08-05 15:14:53,277 - INFO - ✅ Chunk 11 into 'purchases' → Rows: 10000, Mem: 142.53 MB
